6680,Kimagure Mercy,,https://myanimelist.net/images/anime/6/88521.jpg,Music,1,FALSE,"Jun 3, 2016",3 min.,G - All Ages,6.22,99,6694,11538,"The song has been featured in both Magical Mirai 2017 and the MikuExpo China Tour concerts, and has entered the Vocaloid Hall of Fame.",,Music
6681,Koukyoushihen Eureka Seven: Hi-Evolution 1,,https://myanimelist.net/images/anime/1334/90827.jpg,Movie,1,FALSE,"Sep 16, 2017",Unknown,PG-13 - Teens 13 or older,6.22,401,6695,3622,,Bones,"Adventure, Mecha, Drama, Sci-Fi"
6682,Kusatta Kyoushi no Houteishiki,Bad Teacher Equation,https://myanimelist.net/images/anime/10/49929.jpg,OVA,2,FALSE,"Nov 25, 1994 to Nov 24, 1995",27 min. per ep.,PG-13 - Teens 13 or older,6.22,1447,6696,5805,,J.C.Staff,"Comedy, Romance, Shounen Ai"
6683,Kyokugen Dasshutsu Adv: Zennin Shibou Desu Prologue,,https://myanimelist.net/images/anime/8/34929.jpg,ONA,1,FALSE,"Dec 11, 2011",12 min.,R - 17+ (violence & profanity),6.22,1577,6697,5726,,Gonzo,Mystery
6684,Paris no Isabelle,,https://myanimelist.net/images/anime/7/64331.jpg,TV,13,FALSE,"Apr 19, 1979 to Jul 12, 1979",25 min. per ep.,G - All Ages,6.22,60,6698,10279,,DAX Production,"Historical, Drama"
6685,Larva 2nd Season,,https://myanimelist.net/images/anime/12/76343.jpg,TV,34,FALSE,"Jan 5, 2013 to Sep 21, 2013",2 min. per ep.,G - All Ages,6.22,110,6698,10949,,,Comedy
6686,Lupin III 3DCG,,https://myanimelist.net/images/anime/11/89649.jpg,Special,1,FALSE,"Mar 28, 2012",2 min.,PG-13 - Teens 13 or older,6.22,177,6699,9020,,Marza Animation Planet,"Action, Thriller"
6687,Mianhada Saranghanda,,https://myanimelist.net/images/anime/4/26440.jpg,Movie,1,FALSE,"Jun 2, 2008",35 min.,G - All Ages,6.22,236,6701,7894,,,Drama
6688,Minami Kamakura Koukou Joshi Jitenshabu,Minami Kamakura High School Girls Cycling Club,https://myanimelist.net/images/anime/10/83345.jpg,TV,12,FALSE,"Jan 7, 2017 to Mar 25, 2017",23 min. per ep.,PG-13 - Teens 13 or older,6.22,4121,6702,3281,,"J.C.Staff, A.C.G.T.","Sports, School, Shounen"
6689,Monkey Magic,,https://myanimelist.net/images/anime/10/87838.jpg,TV,13,FALSE,"Sep 20, 1998 to Dec 13, 1998",25 min. per ep.,PG - Children,6.22,146,6703,9740,,,"Kids, Adventure, Fantasy"
6690,Soul Eater NOT!,,https://myanimelist.net/images/anime/8/61889.jpg,TV,12,FALSE,"Apr 9, 2014 to Jul 2, 2014",23 min. per ep.,PG-13 - Teens 13 or older,6.22,56283,6704,717,,Bones,"Action, Comedy, Ecchi, Shounen, Supernatural"
6691,Persona 2: Another Self,,https://myanimelist.net/images/anime/7/76408.jpg,Special,1,FALSE,"Jun 29, 2000",5 min.,PG-13 - Teens 13 or older,6.22,570,6705,6351,,,"Action, Fantasy, Supernatural, Demons"
6692,Pokemon XY: Hoopa no Odemashi Daisakusen!!,,https://myanimelist.net/images/anime/10/73716.jpg,Special,6,FALSE,"Apr 23, 2015 to May 28, 2015",40 sec. per ep.,PG - Children,6.22,868,6706,6565,,OLM,"Comedy, Fantasy, Kids"
6693,Queen's Blade Rebellion vs. Hagure Yuusha no Aesthetica,,https://myanimelist.net/images/anime/2/39901.jpg,Special,1,FALSE,"Jun, 2012",3 min.,R+ - Mild Nudity,6.22,4753,6707,3616,,Arms,"Action, Ecchi, Fantasy"
6694,Shin Calimero,Calimero (1992),https://myanimelist.net/images/anime/12/61017.jpg,TV,52,FALSE,"Oct 15, 1992 to Sep 9, 1993",21 min. per ep.,G - All Ages,6.22,602,6708,7786,,Toei Animation,Comedy
6695,Yama Nezumi Rocky Chuck,Fables of the Green Forest,https://myanimelist.net/images/anime/2/56399.jpg,TV,52,FALSE,"Jan 7, 1973 to Dec 30, 1973",26 min. per ep.,G - All Ages,6.22,195,6709,8973,,Nippon Animation,"Kids, Adventure, Fantasy"
6696,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,,https://myanimelist.net/images/anime/1/648.jpg,TV,13,FALSE,"Jun 30, 2004 to Sep 22, 2004",12 min. per ep.,PG-13 - Teens 13 or older,6.22,2126,6709,4574,,,"Comedy, Drama, Harem, Romance, Sci-Fi"
6697,Yonimo Osoroshii Grimm Douwa,,https://myanimelist.net/images/anime/4/27232.jpg,OVA,3,FALSE,2000,20 min. per ep.,R - 17+ (violence & profanity),6.22,107,6710,8528,,Group TAC,"Dementia, Horror, Psychological"
6698,Weiß Survive R,,https://myanimelist.net/images/anime/7/24032.jpg,TV,12,FALSE,"Dec 5, 2009 to Mar 27, 2010",2 min. per ep.,PG-13 - Teens 13 or older,6.22,3924,6711,3907,,Studio Hibari,"Comedy, Ecchi, Game"
6699,Yoshimune,,https://myanimelist.net/images/anime/1/2243.jpg,TV,24,FALSE,"Apr 6, 2006 to Sep 14, 2006",24 min. per ep.,PG - Children,6.22,82,6714,9677,,,"Comedy, Historical"
6700,Yami Shibai 5,Yamishibai: Japanese Ghost Stories 5,https://myanimelist.net/images/anime/11/86158.jpg,TV,13,FALSE,"Jul 3, 2017 to Oct 2, 2017",4 min. per ep.,PG-13 - Teens 13 or older,6.22,3749,6714,3874,,ILCA,"Dementia, Horror, Supernatural"
6701,6HP (Six Hearts Princess),,https://myanimelist.net/images/anime/13/72448.jpg,Special,3,TRUE,"Dec 30, 2016 to ?",22 min. per ep.,None,6.21,91,6715,5928,"The first episode of the anime was unfinished at airing time. It aired within an hour-long block, with the first 22 minutes being animation and the rest of the block consisting of documentary of the anime's creation and an apology from director Takashi Murakami. Murakami currently plans to release two more episodes and a finished first episode.",,Magic
6702,Kingyo Chuuihou! (Movie),,https://myanimelist.net/images/anime/8/16452.jpg,Movie,1,FALSE,"Apr 25, 1992",21 min.,G - All Ages,6.21,131,6718,10026,,Toei Animation,"Action, Comedy, Kids, Shoujo"
6703,Dr. Slump Movie 08: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...,Dr. Slump and Arale-chan: Hoyoyo!! Follow the Rescued Shark...,https://myanimelist.net/images/anime/12/23176.jpg,Movie,1,FALSE,"Mar 12, 1994",25 min.,PG-13 - Teens 13 or older,6.21,196,6718,9012,,Toei Animation,"Comedy, Sci-Fi, Shounen"
6704,Makasete Iruka!,,https://myanimelist.net/images/anime/9/3778.jpg,OVA,1,FALSE,"Jun 10, 2004",24 min.,G - All Ages,6.21,579,6719,8072,,,"Action, Comedy, School"
6705,Ark,,https://myanimelist.net/images/anime/7/11088.jpg,Movie,1,FALSE,"Jun 2, 2005",1 hr. 24 min.,None,6.21,311,6719,8575,,,"Action, Fantasy, Mecha, Military, Supernatural, Sci-Fi"
6706,Akuemon,,https://myanimelist.net/images/anime/3/87863.jpg,OVA,1,FALSE,"Jul 16, 1993",25 min.,PG-13 - Teens 13 or older,6.21,334,6721,8971,,Tezuka Productions,"Fantasy, Romance"
6707,Mashiro-iro Symphony: Airi ga Anata no Kanojo ni!?,,https://myanimelist.net/images/anime/3/38799.jpg,Special,1,FALSE,"Jan 25, 2012",14 min.,PG-13 - Teens 13 or older,6.21,3309,6722,4128,,Manglobe,"Harem, Romance"
